OA,Pop_marr,Married,Civil,Mean_married
E00026910,241,68,0,0.2821576763485477
E00026912,233,69,0,0.296137339055794
E00026913,207,61,0,0.2946859903381642
E00026914,254,89,0,0.35039370078740156
E00026915,229,76,0,0.3318777292576419
E00026916,256,96,6,0.3984375
E00026917,328,110,4,0.3475609756097561
E00026918,193,51,0,0.26424870466321243
E00026919,199,66,0,0.3316582914572864
E00026920,229,69,2,0.31004366812227074
E00026921,221,77,0,0.34841628959276016
E00026922,282,100,0,0.3546099290780142
E00026923,221,41,4,0.20361990950226244
E00026924,237,82,0,0.3459915611814346
E00026925,92,18,0,0.1956521739130435
E00026926,271,96,1,0.35793357933579334
E00026927,218,72,2,0.3394495412844037
E00026928,221,71,1,0.3257918552036199
E00026929,225,74,0,0.3288888888888889
E00026930,221,78,1,0.3574660633484163
E00026931,225,58,0,0.2577777777777778
E00026932,219,71,0,0.3242009132420091
E00026933,253,98,0,0.38735177865612647
E00026934,219,47,0,0.2146118721461187
E00026935,250,74,0,0.296
E00026936,313,92,0,0.2939297124600639
E00026937,445,160,0,0.3595505617977528
E00026938,211,82,0,0.3886255924170616
E00026939,241,79,2,0.3360995850622407
E00026940,187,44,2,0.24598930481283424
E00026941,247,86,0,0.3481781376518219
E00026942,231,78,0,0.33766233766233766
E00026943,262,91,0,0.3473282442748092
E00026944,84,41,2,0.5119047619047619
E00175804,287,42,2,0.15331010452961671
E00175805,479,36,0,0.07515657620041753
E00175806,1345,34,0,0.025278810408921933
E00175807,424,42,0,0.09905660377358491
E00175808,985,41,1,0.04263959390862944
E00175809,463,41,0,0.08855291576673865
E00175810,201,10,2,0.05970149253731343
E00175811,771,11,2,0.016861219195849545
E00175812,397,62,0,0.1561712846347607
E00175813,371,19,0,0.05121293800539083
E00175814,183,13,6,0.10382513661202186
E00175815,218,26,0,0.11926605504587157
E00175816,438,71,6,0.17579908675799086
E00175817,830,16,0,0.01927710843373494
E00175818,760,31,0,0.04078947368421053
E00175819,2057,11,2,0.006319883325230919
E00175820,839,12,0,0.014302741358760428
E00175821,371,58,3,0.16442048517520216
E00175822,199,23,2,0.12562814070351758
E00175823,188,27,1,0.14893617021276595
E00175824,377,46,0,0.1220159151193634
E00175825,992,15,1,0.016129032258064516
E00175826,141,22,0,0.15602836879432624
E00175827,295,27,2,0.09830508474576272
E00175828,230,51,0,0.2217391304347826
E00175829,371,170,0,0.4582210242587601
E00175830,220,53,0,0.2409090909090909
E00175831,208,121,1,0.5865384615384616
E00175832,214,27,0,0.1261682242990654
E00175833,229,61,0,0.2663755458515284
E00175834,222,74,0,0.3333333333333333
E00175835,920,31,0,0.03369565217391304
E00175836,208,40,2,0.20192307692307693
E00175837,400,204,0,0.51
E00175838,233,65,0,0.27896995708154504
E00175839,227,66,0,0.2907488986784141
E00175840,228,15,0,0.06578947368421052
E00175841,198,35,0,0.17676767676767677
E00175842,180,25,0,0.1388888888888889
E00175843,160,17,0,0.10625
E00175844,242,36,5,0.16942148760330578
E00175845,156,13,0,0.08333333333333333
E00175846,175,16,0,0.09142857142857143
E00175847,146,9,0,0.06164383561643835
E00175848,253,83,4,0.3438735177865613
E00175849,203,101,0,0.4975369458128079
E00175850,207,52,0,0.25120772946859904
E00175851,175,12,0,0.06857142857142857
E00175852,305,35,4,0.12786885245901639
E00175853,190,22,0,0.11578947368421053
