OA,Pop_econ,unempl,student,inactive,sum_no_income,mean_no_income
E00025951,144,6,3,47,56,0.3888888888888889
E00025952,126,13,3,56,72,0.5714285714285714
E00025953,159,12,8,85,105,0.660377358490566
E00025954,182,24,5,88,117,0.6428571428571429
E00025955,189,11,3,98,112,0.5925925925925926
E00025957,144,11,2,77,90,0.625
E00025958,152,13,16,51,80,0.5263157894736842
E00025959,167,7,6,81,94,0.562874251497006
E00025961,138,12,11,52,75,0.5434782608695652
E00025962,169,9,3,82,94,0.5562130177514792
E00025963,226,19,6,62,87,0.38495575221238937
E00025964,176,16,6,78,100,0.5681818181818182
E00025968,186,17,11,77,105,0.5645161290322581
E00025969,159,5,0,80,85,0.5345911949685535
E00025970,162,13,7,69,89,0.5493827160493827
E00025976,138,12,1,78,91,0.6594202898550725
E00025987,281,8,16,82,106,0.37722419928825623
E00025988,246,5,35,92,132,0.5365853658536586
E00025989,141,18,5,41,64,0.45390070921985815
E00025993,156,15,3,63,81,0.5192307692307693
E00025994,94,14,5,37,56,0.5957446808510638
E00025995,162,13,5,72,90,0.5555555555555556
E00025996,240,16,6,69,91,0.37916666666666665
E00025997,202,13,9,84,106,0.5247524752475248
E00025998,285,14,7,71,92,0.32280701754385965
E00026000,223,13,7,95,115,0.515695067264574
E00026001,272,18,10,71,99,0.3639705882352941
E00026002,164,19,1,82,102,0.6219512195121951
E00026003,213,16,12,87,115,0.539906103286385
E00026004,206,15,7,65,87,0.4223300970873786
E00026005,204,7,7,61,75,0.36764705882352944
E00026006,226,4,7,99,110,0.48672566371681414
E00026007,308,22,13,96,131,0.4253246753246753
E00026008,198,25,10,95,130,0.6565656565656566
E00026009,206,23,6,78,107,0.5194174757281553
E00026010,154,13,5,62,80,0.5194805194805194
E00026011,192,5,1,68,74,0.3854166666666667
E00026012,196,8,4,77,89,0.45408163265306123
E00026014,247,29,5,120,154,0.6234817813765182
E00026015,203,11,3,85,99,0.4876847290640394
E00026017,249,23,6,84,113,0.4538152610441767
E00026018,237,10,6,70,86,0.3628691983122363
E00026019,171,16,1,84,101,0.5906432748538012
E00026020,227,20,4,93,117,0.5154185022026432
E00026021,163,29,8,71,108,0.6625766871165644
E00026022,242,13,5,68,86,0.35537190082644626
E00026023,160,12,9,50,71,0.44375
E00026024,185,5,4,82,91,0.4918918918918919
E00026025,210,14,3,107,124,0.5904761904761905
E00026026,174,8,6,86,100,0.5747126436781609
E00026027,292,14,9,94,117,0.4006849315068493
E00026028,245,23,10,108,141,0.5755102040816327
E00026030,244,19,11,110,140,0.5737704918032787
E00026031,232,16,10,89,115,0.4956896551724138
E00026032,225,16,7,66,89,0.39555555555555555
E00026033,219,22,5,105,132,0.6027397260273972
E00026034,250,14,4,121,139,0.556
E00026035,276,11,8,88,107,0.38768115942028986
E00026036,344,32,29,150,211,0.6133720930232558
E00026038,317,19,29,140,188,0.5930599369085173
E00026039,266,17,17,125,159,0.5977443609022557
E00026040,238,20,14,116,150,0.6302521008403361
E00026041,185,19,9,83,111,0.6
E00026042,365,22,30,177,229,0.6273972602739726
E00026043,333,14,33,139,186,0.5585585585585585
E00026045,306,22,19,139,180,0.5882352941176471
E00026046,368,37,37,152,226,0.6141304347826086
E00026047,252,16,15,135,166,0.6587301587301587
E00026048,285,19,14,147,180,0.631578947368421
E00026049,313,15,31,141,187,0.597444089456869
E00026052,271,22,15,94,131,0.4833948339483395
E00026053,257,27,8,100,135,0.5252918287937743
E00026054,294,22,23,143,188,0.6394557823129252
E00026055,150,15,3,72,90,0.6
E00026056,311,25,24,153,202,0.6495176848874598
E00026057,350,23,15,106,144,0.4114285714285714
E00026058,347,31,37,157,225,0.6484149855907781
E00026059,224,22,7,114,143,0.6383928571428571
E00026060,287,31,9,139,179,0.6236933797909407
E00026065,281,16,22,130,168,0.597864768683274
E00026066,249,17,18,123,158,0.6345381526104418
E00026067,292,32,19,130,181,0.6198630136986302
E00026068,227,16,10,105,131,0.5770925110132159
E00026069,316,13,33,149,195,0.6170886075949367
E00026070,299,24,27,146,197,0.6588628762541806
E00026071,233,22,18,111,151,0.648068669527897
E00026072,360,16,38,183,237,0.6583333333333333
E00026073,261,28,15,123,166,0.6360153256704981
E00026075,226,8,7,49,64,0.2831858407079646
E00026076,219,3,3,52,58,0.2648401826484018
E00026077,238,6,8,45,59,0.24789915966386555
E00026078,236,4,1,31,36,0.15254237288135594
E00026079,240,2,2,28,32,0.13333333333333333
