OA,Pop,mean_age_OA,Mean,sd_age_OA,SD
E00026779,441,31.05442176870748,31.05442176870748,22.868730828834973,22.868730828834973
E00026780,384,29.234375,29.234375,14.348779867342802,14.348779867342802
E00026781,455,27.114285714285714,27.114285714285714,16.247945118659782,16.247945118659782
E00026782,391,26.774936061381073,26.774936061381073,14.614726887050642,14.614726887050642
E00026783,499,29.338677354709418,29.338677354709418,20.389961480365557,20.389961480365557
E00026784,478,31.594142259414227,31.594142259414227,21.022462958546292,21.022462958546292
E00026785,405,45.59753086419753,45.59753086419753,27.02947591326371,27.02947591326371
E00026786,261,41.67049808429119,41.67049808429119,24.209316613750264,24.209316613750264
E00026787,377,31.76392572944297,31.76392572944297,20.775649962303746,20.775649962303746
E00026788,246,45.58943089430894,45.58943089430894,22.649010657342828,22.649010657342828
E00026789,260,36.176923076923075,36.176923076923075,19.43942790545435,19.43942790545435
E00026790,287,38.51567944250871,38.51567944250871,21.218780393966405,21.218780393966405
E00026791,261,36.46743295019157,36.46743295019157,21.537710504357836,21.537710504357836
E00026792,291,35.824742268041234,35.824742268041234,21.621832983613494,21.621832983613494
E00026793,288,37.21875,37.21875,22.428765964335327,22.428765964335327
E00026795,336,35.13392857142857,35.13392857142857,24.103568399614236,24.103568399614236
E00026796,290,43.9,43.9,23.56556780897014,23.56556780897014
E00026797,300,38.02,38.02,21.611024685559595,21.611024685559595
E00026798,306,33.173202614379086,33.173202614379086,22.48393380940485,22.48393380940485
E00026799,192,66.03125,66.03125,16.280880846926937,16.280880846926937
E00026800,337,36.80712166172107,36.80712166172107,22.313143608698805,22.313143608698805
E00026801,305,45.12459016393443,45.12459016393443,23.953440691607327,23.953440691607327
E00026802,332,37.024096385542165,37.024096385542165,20.064835033490684,20.064835033490684
E00026803,328,43.603658536585364,43.603658536585364,24.345655353397444,24.345655353397444
E00026804,330,43.696969696969695,43.696969696969695,23.681889824990098,23.681889824990098
E00026806,449,30.79510022271715,30.79510022271715,16.60203497238541,16.60203497238541
E00026807,281,32.76512455516014,32.76512455516014,19.630924785421065,19.630924785421065
E00026808,238,37.924369747899156,37.924369747899156,20.941614502123198,20.941614502123198
E00026809,265,31.0188679245283,31.0188679245283,19.11893651754813,19.11893651754813
E00026810,176,50.625,50.625,19.38294537547303,19.38294537547303
E00026811,301,30.770764119601328,30.770764119601328,21.27151324535959,21.27151324535959
E00026812,300,40.11,40.11,23.121995059215674,23.121995059215674
E00026813,326,36.74539877300614,36.74539877300614,23.323139259486794,23.323139259486794
E00026814,283,34.30035335689046,34.30035335689046,21.181876198942344,21.181876198942344
E00026815,335,31.7044776119403,31.7044776119403,20.9917108878421,20.9917108878421
E00026816,353,33.15297450424929,33.15297450424929,21.69570936954226,21.69570936954226
E00026817,305,36.21967213114754,36.21967213114754,22.254677359284113,22.254677359284113
E00026818,330,32.481818181818184,32.481818181818184,20.882824846841547,20.882824846841547
E00026819,286,35.84265734265734,35.84265734265734,21.763313697348377,21.763313697348377
E00026821,408,38.60539215686274,38.60539215686274,23.329151451832594,23.329151451832594
